downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,strong,300,15,143,0.102,steady,1
5M,wifi,strong,300,1235,7767,0.159,steady,1
5M,wifi,strong,300,1401,10615,0.132,buffering,2
5M,wifi,strong,300,1447,5501,0.263,steady,1
5M,wifi,strong,300,1758,8925,0.197,steady,1
5M,wifi,strong,750,859,5235,0.1639999999999999,steady,1
5M,wifi,strong,4300,20137,6250,3.222,steady,1
5M,wifi,strong,4300,29101,6758,4.306,buffering,2
5M,wifi,strong,4300,20305,5884,3.451,buffering,3
5M,wifi,strong,4300,13260,8037,1.65,steady,1
5M,wifi,strong,4300,8446,7616,1.109,steady,1
5M,wifi,strong,4300,8753,10420,0.84,steady,1
5M,wifi,strong,4300,14400,8850,1.627,steady,1
5M,wifi,strong,4300,18606,7711,2.4130000000000003,steady,1
5M,wifi,strong,4300,17713,7814,2.267,steady,1
5M,wifi,strong,4300,6568,6648,0.988,steady,1
5M,wifi,strong,4300,14294,9612,1.487,steady,1
5M,wifi,strong,4300,17813,8017,2.222,steady,1
5M,wifi,strong,4300,14222,7609,1.869,steady,1
5M,wifi,strong,4300,21031,7637,2.754,steady,1
5M,wifi,strong,4300,33953,6625,5.125,steady,1
5M,wifi,strong,4300,11485,5896,1.948,buffering,2
5M,wifi,strong,4300,6012,7787,0.772,steady,1
5M,wifi,strong,4300,12262,10919,1.123,steady,1
5M,wifi,strong,4300,7742,13535,0.5720000000000001,steady,1
5M,wifi,strong,4300,13703,9093,1.507,steady,1
5M,wifi,strong,4300,16720,7610,2.197,steady,1
5M,wifi,strong,4300,17646,8047,2.193,steady,1
5M,wifi,strong,4300,16972,7836,2.166,steady,1
5M,wifi,strong,4300,20467,7212,2.838,steady,1
5M,wifi,strong,4300,34773,6502,5.348,steady,1
5M,wifi,strong,4300,19760,6054,3.264,buffering,2
5M,wifi,strong,4300,15726,6201,2.536,steady,1
5M,wifi,strong,4300,13769,5699,2.416,buffering,2
5M,wifi,strong,4300,16508,8258,1.999,steady,1
5M,wifi,strong,4300,17427,8064,2.161,steady,1
5M,wifi,strong,4300,18493,7819,2.365,steady,1
5M,wifi,strong,4300,15428,8481,1.819,steady,1
5M,wifi,strong,4300,17579,7558,2.326,steady,1
5M,wifi,strong,4300,17824,7760,2.297,steady,1
5M,wifi,strong,4300,9649,7388,1.306,steady,1
5M,wifi,strong,4300,21508,7787,2.762,steady,1
5M,wifi,strong,4300,15301,7586,2.017,steady,1
5M,wifi,strong,4300,14588,8857,1.647,steady,1
5M,wifi,strong,4300,14330,7627,1.879,steady,1
5M,wifi,strong,4300,22966,7413,3.098,steady,1
5M,wifi,strong,4300,23917,6940,3.446,steady,1
5M,wifi,strong,4300,24089,5762,4.181,buffering,2
5M,wifi,strong,4300,10543,5632,1.872,buffering,3
5M,wifi,strong,4300,26645,6795,3.921,steady,1
5M,wifi,strong,4300,14929,5672,2.632,buffering,2
5M,wifi,strong,4300,12626,9841,1.283,steady,1
5M,wifi,strong,4300,13513,9100,1.485,steady,1
5M,wifi,strong,4300,23227,7309,3.178,steady,1
5M,wifi,strong,4300,20750,7123,2.9130000000000003,steady,1
5M,wifi,strong,4300,14577,6531,2.232,steady,1
5M,wifi,strong,4300,13987,9148,1.529,steady,1
5M,wifi,strong,4300,26133,6986,3.741,steady,1
5M,wifi,strong,4300,13335,5964,2.236,buffering,2
5M,wifi,strong,4300,14796,7145,2.071,steady,1
5M,wifi,strong,4300,11435,9404,1.216,steady,1
5M,wifi,strong,4300,29296,6845,4.279999999999999,steady,1
5M,wifi,strong,4300,24721,5798,4.263999999999999,buffering,2
5M,wifi,strong,4300,15068,5342,2.821,buffering,3
5M,wifi,strong,4300,15640,6253,2.501,buffering,4
5M,wifi,strong,4300,19531,7784,2.509,steady,1
5M,wifi,strong,4300,16972,8094,2.097,steady,1
5M,wifi,strong,4300,13792,8042,1.715,steady,1
5M,wifi,strong,4300,24041,7170,3.353,steady,1
5M,wifi,strong,4300,22317,7312,3.052,steady,1
5M,wifi,strong,4300,17718,6889,2.572,steady,1
5M,wifi,strong,4300,20396,6893,2.959,steady,1
5M,wifi,strong,4300,11253,7283,1.5450000000000002,steady,1
5M,wifi,strong,4300,9187,11272,0.815,steady,1
5M,wifi,strong,4300,19401,7564,2.565,steady,1
5M,wifi,strong,4300,10616,8659,1.226,steady,1
5M,wifi,strong,4300,65605,6134,10.696,steady,1
5M,wifi,strong,4300,21303,6125,3.478,steady,1
5M,wifi,strong,4300,11462,5890,1.946,buffering,2
5M,wifi,strong,4300,18991,5736,3.311,buffering,3
5M,wifi,strong,4300,14431,5789,2.493,buffering,4
5M,wifi,strong,4300,15389,5608,2.744,buffering,5
5M,wifi,strong,4300,18350,5742,3.196,buffering,6
5M,wifi,strong,4300,14129,5890,2.399,buffering,7
5M,wifi,strong,4300,10654,8798,1.211,steady,1
5M,wifi,strong,4300,9796,9576,1.023,steady,1
